Author,n_publications,first_year,last_year,total_citations,primary_institution
"Forero-Romero, Jamie E.",225,2013,2026,10633,Universidad de los Andes
"Zuluaga, Jorge I.",29,2013,2025,431,Universidad de Antioquia
"Vargas-Domínguez, Santiago",20,2012,2026,470,Universidad Nacional de Colombia
"García-Varela, José-Alejandro",20,2001,2026,224,Universidad de los Andes
"Lora-Clavijo, Fabio D.",18,2015,2026,233,Universidad Industrial de Santander
"Dubeibe, Fredy L.",15,2017,2026,68,Universidad de los Llanos
"Sabogal, Beatriz E.",13,2009,2026,100,Universidad de los Andes
"Romano, Antonio Enea",13,2013,2025,299,Universidad de Antioquia
"González, Guillermo A.",12,2006,2018,185,Universidad Industrial de Santander
"Gieren, Wolfgang P.",12,1980,1992,224,Universidad Nacional de Colombia
"Cuartas-Restrepo, Pablo Andrés",11,2012,2026,114,Universidad de Antioquia
"Sucerquia, Mario Alexander",11,2015,2021,213,Universidad de Antioquia
"Sierra-Porta, David",11,2022,2026,476,Universidad Tecnológica de Bolívar
"Chaparro, Germán",10,2023,2026,70,Universidad de Antioquia
"Ferrín, Ignacio",9,2012,2021,72,Universidad de Antioquia
"Calvo-Mozo, Benjamín",8,2012,2026,117,Universidad Nacional de Colombia
"Silva-Villa, E.",8,2014,2024,493,Universidad de Antioquia
"Valenzuela-Toledo, César A.",8,2012,2025,94,Universidad del Valle
"Castañeda, Leonardo",8,2011,2026,49,Universidad Nacional de Colombia
"Pinzón, Giovanni",8,2010,2024,303,Universidad Nacional de Colombia
"Chaves-Velasquez, Leonardo",7,2019,2023,117,Universidad de Nariño
"Asorey, H.",7,2017,2019,858,Universidad Industrial de Santander
"Muñoz-Cuartas, J. C.",7,2014,2025,211,Universidad de Antioquia
"Becerra, Laura M.",7,2019,2023,137,Universidad Industrial de Santander
"Torres, Sergio",7,1994,2013,54,Universidad de los Andes
